id,student_id/id,work_plan_id/id,curriculum_version_id/id,title,doc_type,stage,status,defense_date,repository_url,advisor_id/id
thesis_stu_mptrcs_t1_11,stu_mptrcs_t1_11,wp_stu_mptrcs_t1_11,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Lacerda,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/11,fac_mptrcs_09
thesis_stu_mptrcs_t1_12,stu_mptrcs_t1_12,wp_stu_mptrcs_t1_12,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Mascarenhas,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/12,fac_mptrcs_11
thesis_stu_mptrcs_t1_13,stu_mptrcs_t1_13,wp_stu_mptrcs_t1_13,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Noronha,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/13,fac_mptrcs_02
thesis_stu_mptrcs_t1_14,stu_mptrcs_t1_14,wp_stu_mptrcs_t1_14,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Rangel,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/14,fac_mptrcs_12
thesis_stu_mptrcs_t1_15,stu_mptrcs_t1_15,wp_stu_mptrcs_t1_15,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Sobral,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/15,fac_mptrcs_06
thesis_stu_mptrcs_t2_01,stu_mptrcs_t2_01,wp_stu_mptrcs_t2_01,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Alcantara,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/16,fac_mptrcs_02
thesis_stu_mptrcs_t2_02,stu_mptrcs_t2_02,wp_stu_mptrcs_t2_02,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Chaves,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/17,fac_mptrcs_09
thesis_stu_mptrcs_t2_03,stu_mptrcs_t2_03,wp_stu_mptrcs_t2_03,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Guedes,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/18,fac_mptrcs_09
thesis_stu_mptrcs_t2_04,stu_mptrcs_t2_04,wp_stu_mptrcs_t2_04,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Marcondes,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/19,fac_mptrcs_05
thesis_stu_mptrcs_t2_05,stu_mptrcs_t2_05,wp_stu_mptrcs_t2_05,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Neves,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/20,fac_mptrcs_05
thesis_stu_mptrcs_t2_06,stu_mptrcs_t2_06,wp_stu_mptrcs_t2_06,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Porto,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/21,fac_mptrcs_08
thesis_stu_mptrcs_t2_07,stu_mptrcs_t2_07,wp_stu_mptrcs_t2_07,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Serra,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/22,fac_mptrcs_03
thesis_stu_mptrcs_t2_08,stu_mptrcs_t2_08,wp_stu_mptrcs_t2_08,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Wanderley,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/23,fac_mptrcs_11
thesis_stu_mptrcs_t2_09,stu_mptrcs_t2_09,wp_stu_mptrcs_t2_09,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Camargo,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/24,fac_mptrcs_12
thesis_stu_mptrcs_t2_10,stu_mptrcs_t2_10,wp_stu_mptrcs_t2_10,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Fragoso,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/25,fac_mptrcs_12
thesis_stu_mptrcs_t2_11,stu_mptrcs_t2_11,wp_stu_mptrcs_t2_11,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Maia,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/26,fac_mptrcs_10
thesis_stu_mptrcs_t2_12,stu_mptrcs_t2_12,wp_stu_mptrcs_t2_12,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Muniz,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/27,fac_mptrcs_05
thesis_stu_mptrcs_t2_13,stu_mptrcs_t2_13,wp_stu_mptrcs_t2_13,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Pontes,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/28,fac_mptrcs_01
thesis_stu_mptrcs_t2_14,stu_mptrcs_t2_14,wp_stu_mptrcs_t2_14,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Sardenberg,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/29,fac_mptrcs_12
thesis_stu_mptrcs_t2_15,stu_mptrcs_t2_15,wp_stu_mptrcs_t2_15,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Vidal,dissertation,defense,homologated,2025-04-15,http://repositorio.ipen.br/handle/123456789/30,fac_mptrcs_06
thesis_stu_mptrcs_t3_01,stu_mptrcs_t3_01,wp_stu_mptrcs_t3_01,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Bueno,dissertation,defense,homologated,2026-04-15,http://repositorio.ipen.br/handle/123456789/31,fac_mptrcs_06
thesis_stu_mptrcs_t3_02,stu_mptrcs_t3_02,wp_stu_mptrcs_t3_02,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Figueira,dissertation,defense,homologated,2026-04-15,http://repositorio.ipen.br/handle/123456789/32,fac_mptrcs_08
thesis_stu_mptrcs_t3_03,stu_mptrcs_t3_03,wp_stu_mptrcs_t3_03,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Loyola,dissertation,defense,homologated,2026-04-15,http://repositorio.ipen.br/handle/123456789/33,fac_mptrcs_07
thesis_stu_mptrcs_t3_04,stu_mptrcs_t3_04,wp_stu_mptrcs_t3_04,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Montenegro,dissertation,defense,homologated,2026-04-15,http://repositorio.ipen.br/handle/123456789/34,fac_mptrcs_02
thesis_stu_mptrcs_t3_05,stu_mptrcs_t3_05,wp_stu_mptrcs_t3_05,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Pimentel,dissertation,defense,homologated,2026-04-15,http://repositorio.ipen.br/handle/123456789/35,fac_mptrcs_07
thesis_stu_mptrcs_t3_06,stu_mptrcs_t3_06,wp_stu_mptrcs_t3_06,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Salles,dissertation,defense,homologated,2026-04-15,http://repositorio.ipen.br/handle/123456789/36,fac_mptrcs_10
thesis_stu_mptrcs_t3_07,stu_mptrcs_t3_07,wp_stu_mptrcs_t3_07,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Valle,dissertation,defense,homologated,2026-04-15,http://repositorio.ipen.br/handle/123456789/37,fac_mptrcs_09
thesis_stu_mptrcs_t3_08,stu_mptrcs_t3_08,wp_stu_mptrcs_t3_08,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Bittencourt,dissertation,defense,homologated,2026-04-15,http://repositorio.ipen.br/handle/123456789/38,fac_mptrcs_08
thesis_stu_mptrcs_t3_09,stu_mptrcs_t3_09,wp_stu_mptrcs_t3_09,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Esteves,dissertation,defense,homologated,2026-04-15,http://repositorio.ipen.br/handle/123456789/39,fac_mptrcs_02
thesis_stu_mptrcs_t3_10,stu_mptrcs_t3_10,wp_stu_mptrcs_t3_10,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Linhares,dissertation,defense,homologated,2026-04-15,http://repositorio.ipen.br/handle/123456789/40,fac_mptrcs_07
thesis_stu_mptrcs_t3_11,stu_mptrcs_t3_11,wp_stu_mptrcs_t3_11,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Meneses,dissertation,defense,homologated,2026-04-15,http://repositorio.ipen.br/handle/123456789/41,fac_mptrcs_09
thesis_stu_mptrcs_t3_12,stu_mptrcs_t3_12,wp_stu_mptrcs_t3_12,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Penna,dissertation,defense,homologated,2026-04-15,http://repositorio.ipen.br/handle/123456789/42,fac_mptrcs_10
