id,product_id/id,partner_id/id,author_role,ip_share
auth_ptt_stu_mptrcs_t2_04_stu,ptt_stu_mptrcs_t2_04,stu_mptrcs_t2_04,main_dev,60.0
auth_ptt_stu_mptrcs_t2_04_adv,ptt_stu_mptrcs_t2_04,fac_mptrcs_07,advisor,40.0
auth_ptt_stu_mptrcs_t2_05_stu,ptt_stu_mptrcs_t2_05,stu_mptrcs_t2_05,main_dev,60.0
auth_ptt_stu_mptrcs_t2_05_adv,ptt_stu_mptrcs_t2_05,fac_mptrcs_08,advisor,40.0
auth_ptt_stu_mptrcs_t2_06_stu,ptt_stu_mptrcs_t2_06,stu_mptrcs_t2_06,main_dev,60.0
auth_ptt_stu_mptrcs_t2_06_adv,ptt_stu_mptrcs_t2_06,fac_mptrcs_09,advisor,40.0
auth_ptt_stu_mptrcs_t2_07_stu,ptt_stu_mptrcs_t2_07,stu_mptrcs_t2_07,main_dev,60.0
auth_ptt_stu_mptrcs_t2_07_adv,ptt_stu_mptrcs_t2_07,fac_mptrcs_10,advisor,40.0
auth_ptt_stu_mptrcs_t2_08_stu,ptt_stu_mptrcs_t2_08,stu_mptrcs_t2_08,main_dev,60.0
auth_ptt_stu_mptrcs_t2_08_adv,ptt_stu_mptrcs_t2_08,fac_mptrcs_11,advisor,40.0
auth_ptt_stu_mptrcs_t2_09_stu,ptt_stu_mptrcs_t2_09,stu_mptrcs_t2_09,main_dev,60.0
auth_ptt_stu_mptrcs_t2_09_adv,ptt_stu_mptrcs_t2_09,fac_mptrcs_12,advisor,40.0
auth_ptt_stu_mptrcs_t2_10_stu,ptt_stu_mptrcs_t2_10,stu_mptrcs_t2_10,main_dev,60.0
auth_ptt_stu_mptrcs_t2_10_adv,ptt_stu_mptrcs_t2_10,fac_mptrcs_01,advisor,40.0
auth_ptt_stu_mptrcs_t2_11_stu,ptt_stu_mptrcs_t2_11,stu_mptrcs_t2_11,main_dev,60.0
auth_ptt_stu_mptrcs_t2_11_adv,ptt_stu_mptrcs_t2_11,fac_mptrcs_02,advisor,40.0
auth_ptt_stu_mptrcs_t2_12_stu,ptt_stu_mptrcs_t2_12,stu_mptrcs_t2_12,main_dev,60.0
auth_ptt_stu_mptrcs_t2_12_adv,ptt_stu_mptrcs_t2_12,fac_mptrcs_03,advisor,40.0
auth_ptt_stu_mptrcs_t2_13_stu,ptt_stu_mptrcs_t2_13,stu_mptrcs_t2_13,main_dev,60.0
auth_ptt_stu_mptrcs_t2_13_adv,ptt_stu_mptrcs_t2_13,fac_mptrcs_04,advisor,40.0
auth_ptt_stu_mptrcs_t2_14_stu,ptt_stu_mptrcs_t2_14,stu_mptrcs_t2_14,main_dev,60.0
auth_ptt_stu_mptrcs_t2_14_adv,ptt_stu_mptrcs_t2_14,fac_mptrcs_05,advisor,40.0
auth_ptt_stu_mptrcs_t2_15_stu,ptt_stu_mptrcs_t2_15,stu_mptrcs_t2_15,main_dev,60.0
auth_ptt_stu_mptrcs_t2_15_adv,ptt_stu_mptrcs_t2_15,fac_mptrcs_06,advisor,40.0
auth_ptt_stu_mptrcs_t3_01_stu,ptt_stu_mptrcs_t3_01,stu_mptrcs_t3_01,main_dev,60.0
auth_ptt_stu_mptrcs_t3_01_adv,ptt_stu_mptrcs_t3_01,fac_mptrcs_07,advisor,40.0
auth_ptt_stu_mptrcs_t3_02_stu,ptt_stu_mptrcs_t3_02,stu_mptrcs_t3_02,main_dev,60.0
auth_ptt_stu_mptrcs_t3_02_adv,ptt_stu_mptrcs_t3_02,fac_mptrcs_08,advisor,40.0
auth_ptt_stu_mptrcs_t3_03_stu,ptt_stu_mptrcs_t3_03,stu_mptrcs_t3_03,main_dev,60.0
auth_ptt_stu_mptrcs_t3_03_adv,ptt_stu_mptrcs_t3_03,fac_mptrcs_09,advisor,40.0
auth_ptt_stu_mptrcs_t3_04_stu,ptt_stu_mptrcs_t3_04,stu_mptrcs_t3_04,main_dev,60.0
auth_ptt_stu_mptrcs_t3_04_adv,ptt_stu_mptrcs_t3_04,fac_mptrcs_10,advisor,40.0
auth_ptt_stu_mptrcs_t3_05_stu,ptt_stu_mptrcs_t3_05,stu_mptrcs_t3_05,main_dev,60.0
auth_ptt_stu_mptrcs_t3_05_adv,ptt_stu_mptrcs_t3_05,fac_mptrcs_11,advisor,40.0
auth_ptt_stu_mptrcs_t3_06_stu,ptt_stu_mptrcs_t3_06,stu_mptrcs_t3_06,main_dev,60.0
auth_ptt_stu_mptrcs_t3_06_adv,ptt_stu_mptrcs_t3_06,fac_mptrcs_12,advisor,40.0
auth_ptt_stu_mptrcs_t3_07_stu,ptt_stu_mptrcs_t3_07,stu_mptrcs_t3_07,main_dev,60.0
auth_ptt_stu_mptrcs_t3_07_adv,ptt_stu_mptrcs_t3_07,fac_mptrcs_01,advisor,40.0
auth_ptt_stu_mptrcs_t3_08_stu,ptt_stu_mptrcs_t3_08,stu_mptrcs_t3_08,main_dev,60.0
auth_ptt_stu_mptrcs_t3_08_adv,ptt_stu_mptrcs_t3_08,fac_mptrcs_02,advisor,40.0
auth_ptt_stu_mptrcs_t3_09_stu,ptt_stu_mptrcs_t3_09,stu_mptrcs_t3_09,main_dev,60.0
auth_ptt_stu_mptrcs_t3_09_adv,ptt_stu_mptrcs_t3_09,fac_mptrcs_03,advisor,40.0
auth_ptt_stu_mptrcs_t3_10_stu,ptt_stu_mptrcs_t3_10,stu_mptrcs_t3_10,main_dev,60.0
auth_ptt_stu_mptrcs_t3_10_adv,ptt_stu_mptrcs_t3_10,fac_mptrcs_04,advisor,40.0
auth_ptt_stu_mptrcs_t3_11_stu,ptt_stu_mptrcs_t3_11,stu_mptrcs_t3_11,main_dev,60.0
auth_ptt_stu_mptrcs_t3_11_adv,ptt_stu_mptrcs_t3_11,fac_mptrcs_05,advisor,40.0
auth_ptt_stu_mptrcs_t3_12_stu,ptt_stu_mptrcs_t3_12,stu_mptrcs_t3_12,main_dev,60.0
auth_ptt_stu_mptrcs_t3_12_adv,ptt_stu_mptrcs_t3_12,fac_mptrcs_06,advisor,40.0
