id,student_id/id,course_id/id,batch_id/id,program_id/id,curriculum_version_id/id,course_type,state,admission_date,completion_date
link_stu_mptrcs_t1_15,stu_mptrcs_t1_15,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t2_01,stu_mptrcs_t2_01,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_02,stu_mptrcs_t2_02,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_03,stu_mptrcs_t2_03,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_04,stu_mptrcs_t2_04,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_05,stu_mptrcs_t2_05,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_06,stu_mptrcs_t2_06,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_07,stu_mptrcs_t2_07,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_08,stu_mptrcs_t2_08,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_09,stu_mptrcs_t2_09,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_10,stu_mptrcs_t2_10,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_11,stu_mptrcs_t2_11,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_12,stu_mptrcs_t2_12,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_13,stu_mptrcs_t2_13,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_14,stu_mptrcs_t2_14,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_15,stu_mptrcs_t2_15,crs_ipen_mptrcs,batch_ipen_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t3_01,stu_mptrcs_t3_01,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,finished,2024-03-01,2026-04-15
link_stu_mptrcs_t3_02,stu_mptrcs_t3_02,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,finished,2024-03-01,2026-04-15
link_stu_mptrcs_t3_03,stu_mptrcs_t3_03,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,finished,2024-03-01,2026-04-15
link_stu_mptrcs_t3_04,stu_mptrcs_t3_04,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,finished,2024-03-01,2026-04-15
link_stu_mptrcs_t3_05,stu_mptrcs_t3_05,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,finished,2024-03-01,2026-04-15
link_stu_mptrcs_t3_06,stu_mptrcs_t3_06,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,finished,2024-03-01,2026-04-15
link_stu_mptrcs_t3_07,stu_mptrcs_t3_07,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,finished,2024-03-01,2026-04-15
link_stu_mptrcs_t3_08,stu_mptrcs_t3_08,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,finished,2024-03-01,2026-04-15
link_stu_mptrcs_t3_09,stu_mptrcs_t3_09,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,finished,2024-03-01,2026-04-15
link_stu_mptrcs_t3_10,stu_mptrcs_t3_10,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,finished,2024-03-01,2026-04-15
link_stu_mptrcs_t3_11,stu_mptrcs_t3_11,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,finished,2024-03-01,2026-04-15
link_stu_mptrcs_t3_12,stu_mptrcs_t3_12,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,finished,2024-03-01,2026-04-15
link_stu_mptrcs_t3_13,stu_mptrcs_t3_13,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,running,2024-03-01,
link_stu_mptrcs_t3_14,stu_mptrcs_t3_14,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,running,2024-03-01,
link_stu_mptrcs_t3_15,stu_mptrcs_t3_15,crs_ipen_mptrcs,batch_ipen_t3,prog_mptrcs,reg_mptrcs_v2,regular,running,2024-03-01,
link_stu_mptrcs_t4_01,stu_mptrcs_t4_01,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
link_stu_mptrcs_t4_02,stu_mptrcs_t4_02,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
link_stu_mptrcs_t4_03,stu_mptrcs_t4_03,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
link_stu_mptrcs_t4_04,stu_mptrcs_t4_04,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
link_stu_mptrcs_t4_05,stu_mptrcs_t4_05,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
link_stu_mptrcs_t4_06,stu_mptrcs_t4_06,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
link_stu_mptrcs_t4_07,stu_mptrcs_t4_07,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
link_stu_mptrcs_t4_08,stu_mptrcs_t4_08,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
link_stu_mptrcs_t4_09,stu_mptrcs_t4_09,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
link_stu_mptrcs_t4_10,stu_mptrcs_t4_10,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
link_stu_mptrcs_t4_11,stu_mptrcs_t4_11,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
link_stu_mptrcs_t4_12,stu_mptrcs_t4_12,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
link_stu_mptrcs_t4_13,stu_mptrcs_t4_13,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
link_stu_mptrcs_t4_14,stu_mptrcs_t4_14,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
link_stu_mptrcs_t4_15,stu_mptrcs_t4_15,crs_ipen_mptrcs,batch_ipen_t4,prog_mptrcs,reg_mptrcs_v2,regular,running,2025-03-01,
