id,thesis_id/id,member_id/id,member_role,is_titular
comm_thesis_stu_mptrcs_t2_06_ext,thesis_stu_mptrcs_t2_06,fac_mptrcs_12,external_evaluator,True
comm_thesis_stu_mptrcs_t2_07_adv,thesis_stu_mptrcs_t2_07,fac_mptrcs_10,advisor,True
comm_thesis_stu_mptrcs_t2_07_int,thesis_stu_mptrcs_t2_07,fac_mptrcs_12,internal_evaluator,True
comm_thesis_stu_mptrcs_t2_07_ext,thesis_stu_mptrcs_t2_07,fac_mptrcs_01,external_evaluator,True
comm_thesis_stu_mptrcs_t2_08_adv,thesis_stu_mptrcs_t2_08,fac_mptrcs_11,advisor,True
comm_thesis_stu_mptrcs_t2_08_int,thesis_stu_mptrcs_t2_08,fac_mptrcs_01,internal_evaluator,True
comm_thesis_stu_mptrcs_t2_08_ext,thesis_stu_mptrcs_t2_08,fac_mptrcs_02,external_evaluator,True
comm_thesis_stu_mptrcs_t2_09_adv,thesis_stu_mptrcs_t2_09,fac_mptrcs_12,advisor,True
comm_thesis_stu_mptrcs_t2_09_int,thesis_stu_mptrcs_t2_09,fac_mptrcs_02,internal_evaluator,True
comm_thesis_stu_mptrcs_t2_09_ext,thesis_stu_mptrcs_t2_09,fac_mptrcs_03,external_evaluator,True
comm_thesis_stu_mptrcs_t2_10_adv,thesis_stu_mptrcs_t2_10,fac_mptrcs_01,advisor,True
comm_thesis_stu_mptrcs_t2_10_int,thesis_stu_mptrcs_t2_10,fac_mptrcs_03,internal_evaluator,True
comm_thesis_stu_mptrcs_t2_10_ext,thesis_stu_mptrcs_t2_10,fac_mptrcs_04,external_evaluator,True
comm_thesis_stu_mptrcs_t2_11_adv,thesis_stu_mptrcs_t2_11,fac_mptrcs_02,advisor,True
comm_thesis_stu_mptrcs_t2_11_int,thesis_stu_mptrcs_t2_11,fac_mptrcs_04,internal_evaluator,True
comm_thesis_stu_mptrcs_t2_11_ext,thesis_stu_mptrcs_t2_11,fac_mptrcs_05,external_evaluator,True
comm_thesis_stu_mptrcs_t2_12_adv,thesis_stu_mptrcs_t2_12,fac_mptrcs_03,advisor,True
comm_thesis_stu_mptrcs_t2_12_int,thesis_stu_mptrcs_t2_12,fac_mptrcs_05,internal_evaluator,True
comm_thesis_stu_mptrcs_t2_12_ext,thesis_stu_mptrcs_t2_12,fac_mptrcs_06,external_evaluator,True
comm_thesis_stu_mptrcs_t2_13_adv,thesis_stu_mptrcs_t2_13,fac_mptrcs_04,advisor,True
comm_thesis_stu_mptrcs_t2_13_int,thesis_stu_mptrcs_t2_13,fac_mptrcs_06,internal_evaluator,True
comm_thesis_stu_mptrcs_t2_13_ext,thesis_stu_mptrcs_t2_13,fac_mptrcs_07,external_evaluator,True
comm_thesis_stu_mptrcs_t2_14_adv,thesis_stu_mptrcs_t2_14,fac_mptrcs_05,advisor,True
comm_thesis_stu_mptrcs_t2_14_int,thesis_stu_mptrcs_t2_14,fac_mptrcs_07,internal_evaluator,True
comm_thesis_stu_mptrcs_t2_14_ext,thesis_stu_mptrcs_t2_14,fac_mptrcs_08,external_evaluator,True
comm_thesis_stu_mptrcs_t2_15_adv,thesis_stu_mptrcs_t2_15,fac_mptrcs_06,advisor,True
comm_thesis_stu_mptrcs_t2_15_int,thesis_stu_mptrcs_t2_15,fac_mptrcs_08,internal_evaluator,True
comm_thesis_stu_mptrcs_t2_15_ext,thesis_stu_mptrcs_t2_15,fac_mptrcs_09,external_evaluator,True
comm_thesis_stu_mptrcs_t3_01_adv,thesis_stu_mptrcs_t3_01,fac_mptrcs_07,advisor,True
comm_thesis_stu_mptrcs_t3_01_int,thesis_stu_mptrcs_t3_01,fac_mptrcs_09,internal_evaluator,True
comm_thesis_stu_mptrcs_t3_01_ext,thesis_stu_mptrcs_t3_01,fac_mptrcs_10,external_evaluator,True
comm_thesis_stu_mptrcs_t3_02_adv,thesis_stu_mptrcs_t3_02,fac_mptrcs_08,advisor,True
comm_thesis_stu_mptrcs_t3_02_int,thesis_stu_mptrcs_t3_02,fac_mptrcs_10,internal_evaluator,True
comm_thesis_stu_mptrcs_t3_02_ext,thesis_stu_mptrcs_t3_02,fac_mptrcs_11,external_evaluator,True
comm_thesis_stu_mptrcs_t3_03_adv,thesis_stu_mptrcs_t3_03,fac_mptrcs_09,advisor,True
comm_thesis_stu_mptrcs_t3_03_int,thesis_stu_mptrcs_t3_03,fac_mptrcs_11,internal_evaluator,True
comm_thesis_stu_mptrcs_t3_03_ext,thesis_stu_mptrcs_t3_03,fac_mptrcs_12,external_evaluator,True
comm_thesis_stu_mptrcs_t3_04_adv,thesis_stu_mptrcs_t3_04,fac_mptrcs_10,advisor,True
comm_thesis_stu_mptrcs_t3_04_int,thesis_stu_mptrcs_t3_04,fac_mptrcs_12,internal_evaluator,True
comm_thesis_stu_mptrcs_t3_04_ext,thesis_stu_mptrcs_t3_04,fac_mptrcs_01,external_evaluator,True
comm_thesis_stu_mptrcs_t3_05_adv,thesis_stu_mptrcs_t3_05,fac_mptrcs_11,advisor,True
comm_thesis_stu_mptrcs_t3_05_int,thesis_stu_mptrcs_t3_05,fac_mptrcs_01,internal_evaluator,True
comm_thesis_stu_mptrcs_t3_05_ext,thesis_stu_mptrcs_t3_05,fac_mptrcs_02,external_evaluator,True
comm_thesis_stu_mptrcs_t3_06_adv,thesis_stu_mptrcs_t3_06,fac_mptrcs_12,advisor,True
comm_thesis_stu_mptrcs_t3_06_int,thesis_stu_mptrcs_t3_06,fac_mptrcs_02,internal_evaluator,True
comm_thesis_stu_mptrcs_t3_06_ext,thesis_stu_mptrcs_t3_06,fac_mptrcs_03,external_evaluator,True
comm_thesis_stu_mptrcs_t3_07_adv,thesis_stu_mptrcs_t3_07,fac_mptrcs_01,advisor,True
comm_thesis_stu_mptrcs_t3_07_int,thesis_stu_mptrcs_t3_07,fac_mptrcs_03,internal_evaluator,True
comm_thesis_stu_mptrcs_t3_07_ext,thesis_stu_mptrcs_t3_07,fac_mptrcs_04,external_evaluator,True
comm_thesis_stu_mptrcs_t3_08_adv,thesis_stu_mptrcs_t3_08,fac_mptrcs_02,advisor,True
comm_thesis_stu_mptrcs_t3_08_int,thesis_stu_mptrcs_t3_08,fac_mptrcs_04,internal_evaluator,True
comm_thesis_stu_mptrcs_t3_08_ext,thesis_stu_mptrcs_t3_08,fac_mptrcs_05,external_evaluator,True
comm_thesis_stu_mptrcs_t3_09_adv,thesis_stu_mptrcs_t3_09,fac_mptrcs_03,advisor,True
comm_thesis_stu_mptrcs_t3_09_int,thesis_stu_mptrcs_t3_09,fac_mptrcs_05,internal_evaluator,True
comm_thesis_stu_mptrcs_t3_09_ext,thesis_stu_mptrcs_t3_09,fac_mptrcs_06,external_evaluator,True
comm_thesis_stu_mptrcs_t3_10_adv,thesis_stu_mptrcs_t3_10,fac_mptrcs_04,advisor,True
comm_thesis_stu_mptrcs_t3_10_int,thesis_stu_mptrcs_t3_10,fac_mptrcs_06,internal_evaluator,True
comm_thesis_stu_mptrcs_t3_10_ext,thesis_stu_mptrcs_t3_10,fac_mptrcs_07,external_evaluator,True
comm_thesis_stu_mptrcs_t3_11_adv,thesis_stu_mptrcs_t3_11,fac_mptrcs_05,advisor,True
comm_thesis_stu_mptrcs_t3_11_int,thesis_stu_mptrcs_t3_11,fac_mptrcs_07,internal_evaluator,True
comm_thesis_stu_mptrcs_t3_11_ext,thesis_stu_mptrcs_t3_11,fac_mptrcs_08,external_evaluator,True
comm_thesis_stu_mptrcs_t3_12_adv,thesis_stu_mptrcs_t3_12,fac_mptrcs_06,advisor,True
comm_thesis_stu_mptrcs_t3_12_int,thesis_stu_mptrcs_t3_12,fac_mptrcs_08,internal_evaluator,True
comm_thesis_stu_mptrcs_t3_12_ext,thesis_stu_mptrcs_t3_12,fac_mptrcs_09,external_evaluator,True
