id,faculty_id/id,link_type,program_id/id,external_ies_name,external_program_name,external_snpg_code,faculty_category,weekly_hours
link_fac_xyzq_09_prog_xyzq_mpe,fac_xyzq_09,internal,prog_xyzq_mpe,,,,permanent,20
link_fac_xyzq_10_prog_xyzq_mpe,fac_xyzq_10,internal,prog_xyzq_mpe,,,,permanent,20
link_fac_xyzq_20_prog_xyzq_mpe,fac_xyzq_20,internal,prog_xyzq_mpe,,,,permanent,20
link_fac_xyzq_21_prog_xyzq_mpe,fac_xyzq_21,internal,prog_xyzq_mpe,,,,permanent,20
link_fac_xyzq_22_prog_xyzq_mpe,fac_xyzq_22,internal,prog_xyzq_mpe,,,,permanent,20
link_fac_xyzq_23_prog_xyzq_mpe,fac_xyzq_23,internal,prog_xyzq_mpe,,,,permanent,20
link_fac_xyzq_24_prog_xyzq_mpe,fac_xyzq_24,internal,prog_xyzq_mpe,,,,permanent,20
link_ext_fac_xyzq_01_01,fac_xyzq_01,external,,Universidade de São Paulo - USP,Programa de Pós-Graduação em Ciência da Computação,33002010001P0,permanent,12
link_ext_fac_xyzq_02_02,fac_xyzq_02,external,,Universidade Estadual de Campinas - UNICAMP,Programa de Pós-Graduação em Engenharia de Computação,33003017001P9,collaborator,6
link_ext_fac_xyzq_07_03,fac_xyzq_07,external,,Universidade Estadual Paulista - UNESP,Programa de Pós-Graduação em Física Teórica e Aplicada,33004013005P4,permanent,10
link_ext_fac_xyzq_08_04,fac_xyzq_08,external,,Universidade de São Paulo - USP,Programa de Pós-Graduação em Física (IF-USP),33002010015P7,collaborator,8
link_ext_fac_xyzq_13_05,fac_xyzq_13,external,,Universidade de São Paulo - USP,Programa de Pós-Graduação em Biofísica Molecular (FMRP-USP),33002010040P3,permanent,10
link_ext_fac_xyzq_14_06,fac_xyzq_14,external,,Universidade Federal de São Paulo - UNIFESP,Programa de Pós-Graduação em Biologia Estrutural e Funcional,33009015020P8,collaborator,6
link_ext_fac_xyzq_20_07,fac_xyzq_20,external,,Universidade Federal do ABC - UFABC,Programa de Pós-Graduação em Engenharia da Informação,35041010002P1,permanent,12
link_ext_fac_xyzq_21_08,fac_xyzq_21,external,,Instituto de Pesquisas Tecnológicas - IPT,Programa de Mestrado Profissional em Processos Industriais,33010013001P2,collaborator,8
