id,student_id/id,thesis_id/id,degree_type,issuing_ies_type,emission_format,origin_ies_name,issuing_ies_name,diploma_process_number,registration_book_number,registration_page_number,graduation_date,registration_date,state
diploma_stu_ppgfa_03,stu_ppgfa_03,thesis_stu_ppgfa_03,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0123,LV-2026,003,2026-03-31,2026-05-15,signed
diploma_stu_ppgfa_04,stu_ppgfa_04,thesis_stu_ppgfa_04,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0124,LV-2026,004,2026-03-31,2026-05-15,signed
diploma_stu_ppgfa_05,stu_ppgfa_05,thesis_stu_ppgfa_05,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0125,LV-2026,005,2026-03-31,2026-05-15,signed
diploma_stu_ppgfa_06,stu_ppgfa_06,thesis_stu_ppgfa_06,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0126,LV-2026,006,2026-03-31,2026-05-15,signed
diploma_stu_ppgfa_07,stu_ppgfa_07,thesis_stu_ppgfa_07,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0127,LV-2026,007,2026-03-31,2026-05-15,signed
diploma_stu_ppgfa_08,stu_ppgfa_08,thesis_stu_ppgfa_08,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0128,LV-2026,008,2026-03-31,2026-05-15,signed
diploma_stu_ppgbm_01,stu_ppgbm_01,thesis_stu_ppgbm_01,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0141,LV-2026,001,2026-03-31,2026-05-15,signed
diploma_stu_ppgbm_02,stu_ppgbm_02,thesis_stu_ppgbm_02,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0142,LV-2026,002,2026-03-31,2026-05-15,signed
diploma_stu_ppgbm_03,stu_ppgbm_03,thesis_stu_ppgbm_03,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0143,LV-2026,003,2026-03-31,2026-05-15,signed
diploma_stu_ppgbm_04,stu_ppgbm_04,thesis_stu_ppgbm_04,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0144,LV-2026,004,2026-03-31,2026-05-15,signed
diploma_stu_ppgbm_05,stu_ppgbm_05,thesis_stu_ppgbm_05,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0145,LV-2026,005,2026-03-31,2026-05-15,signed
diploma_stu_ppgbm_06,stu_ppgbm_06,thesis_stu_ppgbm_06,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0146,LV-2026,006,2026-03-31,2026-05-15,signed
diploma_stu_ppgbm_07,stu_ppgbm_07,thesis_stu_ppgbm_07,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0147,LV-2026,007,2026-03-31,2026-05-15,signed
diploma_stu_ppgbm_08,stu_ppgbm_08,thesis_stu_ppgbm_08,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0148,LV-2026,008,2026-03-31,2026-05-15,signed
diploma_stu_mpesi_01,stu_mpesi_01,thesis_stu_mpesi_01,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0161,LV-2026,001,2026-03-31,2026-05-15,signed
diploma_stu_mpesi_02,stu_mpesi_02,thesis_stu_mpesi_02,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0162,LV-2026,002,2026-03-31,2026-05-15,signed
diploma_stu_mpesi_03,stu_mpesi_03,thesis_stu_mpesi_03,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0163,LV-2026,003,2026-03-31,2026-05-15,signed
diploma_stu_mpesi_04,stu_mpesi_04,thesis_stu_mpesi_04,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0164,LV-2026,004,2026-03-31,2026-05-15,signed
diploma_stu_mpesi_05,stu_mpesi_05,thesis_stu_mpesi_05,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0165,LV-2026,005,2026-03-31,2026-05-15,signed
diploma_stu_mpesi_06,stu_mpesi_06,thesis_stu_mpesi_06,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0166,LV-2026,006,2026-03-31,2026-05-15,signed
diploma_stu_mpesi_07,stu_mpesi_07,thesis_stu_mpesi_07,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0167,LV-2026,007,2026-03-31,2026-05-15,signed
